Age	EDC__D
10917	-390,9
10936	-388
10954	-392,6
10973	-397,7
10992	-394,3
11011	-391,4
11029	-387,7
11049	-395,2
11068	-400,3
11088	-393,3
11107	-390
11125	-390,9
11143	-387,4
11162	-389,7
11181	-398
11200	-396,1
11220	-392
11240	-397,7
11261	-398,9
11280	-394,7
11298	-386,8
11316	-385,8
11335	-387,9
11354	-390,7
11373	-402
11392	-392,6
11411	-390,8
11430	-394,6
11449	-381
11467	-382,1
11486	-399,5
11505	-393,5
11525	-398,4
11546	-393,4
11565	-390,9
11583	-386,1
11601	-387,8
11620	-383,8
11638	-386,9
11656	-393
11676	-396,6
11696	-394,1
11716	-395,5
11736	-395,4
11756	-389,6
11776	-394,8
11795	-388,3
11815	-394,8
11834	-387,9
11853	-396,1
11873	-391,3
11893	-393,6
11913	-387,8
11934	-396,1
11955	-403,2
11976	-399,4
11999	-400,8
12021	-399,4
12043	-400,9
12066	-399,2
12089	-404,9
12112	-404
12134	-398,2
12157	-400
12180	-399,8
12204	-406,2
12227	-403,5
12252	-405,5
12277	-414,8
12303	-406,2
12328	-405,8
12352	-410,9
12377	-403,7
12401	-400,6
12426	-409,6
12450	-401,2
12476	-413,3
12503	-414,3
12530	-408,8
12557	-417,4
12583	-406,8
12610	-404,3
12636	-412,4
12663	-412,6
12690	-410,9
12719	-420,8
12749	-417,2
12779	-418,8
12808	-415,6
12837	-418,6
12866	-410,9
12894	-413,7
12923	-412,7
12952	-419,3
12981	-420,8
13010	-412,1
13039	-416
13067	-408,8
13096	-413,9
13124	-416,4
13153	-417,7
13182	-414,9
13210	-410,4
13239	-411,6
13268	-415
13297	-418,4
13326	-415,5
13354	-412,9
13382	-408
13410	-410,8
13437	-414,8
13465	-408,7
13493	-408,5
13520	-411,8
13548	-412,8
13577	-419
13608	-417,5
13638	-414
13667	-416,6
13695	-410,8
13723	-403,4
13751	-413,7
13780	-410,2
13808	-415,9
13838	-416,8
13868	-417,3
13899	-417,1
13929	-411,9
13958	-415,5
13988	-413,4
14016	-405
14044	-417,2
14072	-405,5
14100	-414,3
14129	-414,8
